Unnamed: 0,letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgeycor,yedge,yedgexcor
11,R,4,8,6,6,5,10,7,1,5,11,2,7,3,7,3,10
2118,R,3,7,4,5,1,5,10,8,4,7,4,8,3,7,6,11
1967,B,2,1,3,1,2,7,7,4,5,7,6,6,1,8,5,9
1961,P,11,13,8,7,4,6,12,6,5,14,6,2,4,10,4,8
507,P,6,11,9,8,7,9,8,3,5,13,5,5,3,9,4,9
1938,B,3,7,4,5,4,8,8,5,6,7,5,6,2,8,6,9
768,P,4,6,6,10,9,8,12,5,0,10,7,5,5,10,6,8
1675,B,5,11,8,8,7,9,7,4,6,10,5,6,3,8,6,10
359,A,3,4,6,6,2,7,6,3,0,7,0,8,2,7,1,8
949,A,4,8,6,6,5,9,5,2,5,8,2,5,3,4,3,7
265,A,6,10,6,5,4,11,3,6,2,12,1,10,4,3,3,10
2038,R,3,6,4,4,2,5,10,9,2,7,4,8,2,7,6,11
1031,P,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8
1862,B,4,10,5,7,7,8,7,6,5,8,6,6,6,9,5,10
239,P,3,4,5,2,2,7,10,3,4,12,4,3,1,9,3,8
948,B,4,6,5,4,4,9,7,3,6,10,4,6,2,8,5,10
352,R,2,4,3,3,2,8,7,4,5,9,4,7,2,7,3,10
411,R,2,4,4,3,3,8,7,4,5,8,5,7,3,7,4,11
627,P,5,7,5,5,3,7,10,6,4,11,5,4,1,10,3,8
1879,B,5,12,7,8,8,7,8,6,4,6,4,5,5,7,7,7
98,A,3,9,5,6,3,10,3,2,2,8,2,10,3,5,3,6
402,A,2,4,4,4,2,7,3,2,2,6,2,8,2,5,2,7
313,A,4,10,6,7,2,5,3,4,2,5,1,7,3,8,3,7
900,A,3,7,5,5,3,7,3,2,2,5,2,8,2,6,2,6
404,B,5,11,5,8,7,6,7,8,5,6,7,8,2,8,8,9
839,B,2,1,3,1,2,7,7,5,5,7,6,6,1,8,5,9
213,R,1,0,1,0,0,6,9,7,3,7,5,8,2,7,3,10
13,P,4,6,4,8,3,5,10,10,5,8,6,5,2,10,4,8
702,B,4,9,5,7,6,7,7,9,5,7,5,6,2,8,8,10
761,R,3,10,4,7,5,6,9,8,4,7,7,8,2,7,5,11
1340,R,7,10,6,5,5,7,7,5,5,9,4,9,6,5,7,11
1780,B,4,4,4,6,4,7,5,9,7,6,7,7,3,8,9,10
516,R,4,10,4,7,3,5,10,9,4,7,3,9,3,7,6,11
1489,A,3,8,5,5,2,9,6,3,1,8,0,8,2,7,1,8
1019,P,4,7,5,5,3,7,10,3,6,14,5,2,0,10,3,9
947,R,4,7,4,5,2,6,10,9,4,7,5,8,2,8,5,10
818,R,2,3,4,2,2,8,6,3,4,9,4,7,2,7,3,9
165,B,0,0,2,0,1,7,8,6,4,7,6,7,1,8,6,8
482,R,6,9,8,6,7,8,6,6,4,8,5,7,4,8,7,11
190,A,5,10,6,4,2,11,3,5,1,11,4,11,5,3,4,10
1107,A,4,9,6,6,2,7,4,3,2,7,1,8,3,7,3,8
595,P,8,13,7,6,3,6,10,6,3,13,5,4,4,10,4,8
607,A,3,11,5,8,4,8,4,3,1,7,1,8,2,7,3,8
618,R,3,5,4,6,3,6,11,9,5,7,1,9,3,7,5,10
1815,R,4,7,5,5,5,8,7,7,3,8,5,7,4,8,6,11
377,A,1,0,3,2,1,8,2,2,2,8,2,8,1,6,2,7
354,P,1,1,2,0,0,5,11,6,1,9,6,5,2,9,3,8
560,P,4,8,6,6,6,6,7,6,4,8,6,8,5,8,6,10
1878,R,2,3,4,2,2,8,8,4,4,8,5,7,2,7,3,10
1956,A,2,9,5,6,5,8,2,1,2,7,2,7,2,7,3,6
162,R,3,4,3,3,2,7,8,4,5,6,5,5,3,6,5,8
175,B,4,7,5,5,4,6,7,9,6,7,6,7,2,8,9,9
1072,P,4,9,5,11,10,8,9,3,0,8,7,6,8,10,6,8
795,R,2,1,2,2,2,6,7,4,4,6,5,7,2,7,3,8
1439,P,2,1,3,2,1,4,10,3,5,10,8,6,0,9,3,7
1195,P,3,6,4,4,3,5,11,7,3,10,7,3,1,10,3,6
529,R,4,7,6,5,4,10,7,4,6,10,3,6,3,7,4,11
309,A,3,5,5,5,4,9,8,3,4,6,8,6,4,10,4,5
445,R,5,9,8,6,5,11,6,3,6,11,1,6,4,5,3,10
874,B,4,7,4,5,5,6,8,8,5,7,6,7,2,8,7,9
1655,P,4,9,4,4,3,8,8,3,4,12,5,4,3,11,5,7
1049,P,1,1,2,2,1,5,10,5,4,10,8,4,0,9,3,8
834,R,1,1,2,1,0,6,9,7,3,7,5,8,2,7,4,11
246,B,4,7,6,5,6,8,8,5,5,7,6,8,6,8,8,3
867,P,2,1,2,1,1,5,9,4,4,9,7,4,1,9,3,7
1604,R,4,9,5,7,5,9,6,3,5,9,3,7,3,6,3,11
1628,B,5,9,7,8,7,8,8,3,6,10,5,6,3,7,6,8
623,P,4,9,4,7,4,5,10,9,3,9,6,5,0,10,3,8
994,P,4,11,6,9,6,7,9,5,5,9,8,3,2,10,4,6
2151,A,5,9,6,7,7,8,8,8,4,6,6,8,3,9,8,4
835,B,3,4,5,3,3,6,8,3,5,10,6,6,2,9,6,9
819,P,3,5,5,3,2,7,9,5,3,11,6,3,1,11,3,8
929,R,2,4,4,3,2,9,7,3,5,10,3,5,2,6,3,10
5,R,1,1,2,1,1,6,9,7,3,7,5,8,2,7,4,11
352,P,7,8,9,10,11,8,11,2,4,7,9,6,6,9,7,5
1343,P,4,10,4,7,4,4,11,8,2,9,6,4,1,10,3,8
917,A,3,7,5,5,5,8,8,7,4,6,6,7,2,8,6,5
1566,P,7,10,9,8,5,7,10,2,7,14,6,4,0,10,1,9
1100,P,4,8,4,5,2,5,10,9,5,9,6,5,2,10,4,8
2094,A,2,4,4,6,2,7,3,3,3,8,1,8,3,6,3,7
428,R,3,8,5,6,4,10,7,3,6,11,3,7,3,7,2,10
418,R,4,9,7,7,4,7,8,6,6,8,5,7,3,8,5,10
1102,A,1,1,2,2,0,7,4,2,0,7,2,8,2,7,1,8
887,A,1,0,2,0,0,7,4,2,0,7,2,8,2,7,1,8
850,R,5,9,8,6,9,9,7,4,4,6,7,8,7,9,8,6
791,P,2,4,4,3,2,8,9,3,4,12,4,4,4,10,4,8
62,P,6,11,5,6,3,8,7,5,3,12,3,6,5,10,4,8
1650,A,3,5,5,3,2,11,2,3,2,10,2,9,2,6,2,8
681,A,2,1,3,1,1,7,3,1,0,7,2,8,3,6,1,8
1033,A,4,11,6,8,3,7,3,3,1,6,1,8,3,6,3,8
224,A,2,4,4,4,1,8,2,3,2,7,2,8,2,6,2,7
1166,A,3,9,6,6,4,11,3,2,2,9,2,9,3,5,3,8
1892,R,5,9,7,8,7,8,8,4,6,8,4,8,4,5,5,11
227,B,5,8,6,6,6,10,6,2,6,10,4,7,4,7,4,10
99,A,2,1,3,1,1,7,4,2,1,7,2,9,2,7,1,6
1778,A,4,7,5,5,3,8,2,2,2,6,2,8,2,6,3,6
985,B,4,4,4,7,4,6,8,9,7,7,6,7,2,8,9,10
2029,P,3,7,5,5,4,5,11,8,3,10,7,3,2,11,3,7
1257,A,5,9,7,7,5,8,3,1,2,6,2,6,3,5,4,7
1172,B,3,1,5,3,3,8,7,5,6,6,5,7,2,8,7,10
452,A,3,9,5,7,4,11,4,1,2,8,3,9,4,5,3,8
901,A,2,7,4,6,2,10,3,2,2,9,1,9,2,6,2,8
743,B,4,7,4,5,3,6,7,9,7,7,6,7,2,9,8,9
24,P,3,6,4,4,2,7,10,7,4,11,5,3,1,10,4,7
513,R,2,6,3,4,3,5,9,7,5,7,4,9,2,6,5,10
327,P,4,8,6,6,4,5,13,6,2,12,6,1,0,10,3,7
171,R,4,6,6,4,2,9,7,5,6,9,4,7,3,7,4,11
195,P,5,7,6,5,5,7,9,5,4,8,6,9,2,9,7,10
225,B,4,2,5,4,2,7,7,4,5,6,6,5,2,8,6,10
1050,R,3,7,4,5,2,6,12,8,4,7,2,9,3,7,5,10
1086,B,6,9,5,5,4,9,7,3,5,10,5,7,6,6,7,9
718,P,4,9,6,7,3,6,13,4,2,12,5,1,1,10,3,8
230,P,3,4,5,4,2,7,9,4,4,12,4,3,1,10,3,7
1474,P,2,3,3,2,1,7,10,4,4,12,5,3,1,10,2,8
675,B,5,9,6,7,6,6,8,9,8,7,5,7,2,8,9,9
139,B,3,4,4,3,4,7,7,5,5,6,6,6,2,8,6,10
117,A,5,10,5,5,3,11,4,4,2,11,3,10,6,4,5,10
221,P,5,9,8,7,5,6,14,6,1,11,5,2,1,11,4,7
231,A,3,2,6,4,2,7,2,2,3,6,2,8,3,7,3,7
1277,A,6,10,6,6,3,12,0,4,1,11,4,12,4,4,3,11
2141,B,6,10,8,7,8,8,7,4,6,10,6,6,5,7,7,9
1589,B,2,5,4,3,3,9,7,2,5,11,5,6,2,8,4,9
1470,R,1,0,1,0,0,6,8,6,3,7,4,7,2,7,4,10
2174,B,5,4,5,7,4,6,7,9,7,7,5,7,2,8,9,10
167,A,5,9,6,7,4,9,4,3,1,8,1,9,2,7,3,8
361,P,2,2,3,4,2,6,10,4,5,10,8,4,1,10,3,7
1610,P,9,13,9,7,6,11,6,3,4,12,4,5,5,9,5,9
365,A,2,2,4,3,2,7,2,2,1,6,2,7,1,7,3,7
312,P,4,9,4,4,3,8,9,3,3,11,5,5,4,11,5,7
435,R,4,7,4,6,5,8,6,6,3,8,5,7,4,7,7,10
1119,B,2,3,3,2,2,8,7,2,5,10,5,7,2,8,3,9
167,R,5,8,6,5,4,9,8,4,7,9,3,7,3,6,4,11
558,R,5,7,6,5,6,8,9,7,3,8,4,6,5,7,7,9
282,B,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,9
191,R,5,9,4,6,4,6,10,8,3,7,4,8,2,7,5,11
219,R,5,8,8,7,9,8,7,4,3,8,4,7,7,7,6,5
1899,P,4,8,6,6,4,5,11,4,6,11,9,4,4,10,4,7
909,A,1,0,2,0,0,7,4,2,0,7,2,7,1,6,1,8
1362,R,3,6,3,4,3,6,10,8,4,7,5,8,2,7,4,11
107,A,2,5,4,4,2,5,2,2,2,5,2,8,2,6,2,6
1856,P,4,9,6,6,3,4,13,5,4,13,6,2,0,9,4,8
812,B,2,3,3,2,2,7,7,5,5,7,6,5,2,8,5,9
772,A,10,14,8,8,4,11,1,3,0,10,4,11,3,4,3,10
347,R,5,10,7,9,10,6,9,3,4,6,7,10,8,9,9,7
226,P,3,6,4,5,2,4,12,8,2,10,6,4,2,11,4,8
1827,A,2,3,4,3,2,7,2,3,1,5,2,8,2,7,3,5
1347,P,5,4,6,6,7,8,8,3,3,6,8,7,5,10,5,5
1846,A,3,6,5,4,3,8,2,2,3,7,2,8,1,6,2,7
1068,B,4,10,6,7,5,11,6,3,8,10,3,8,2,8,5,12
432,P,3,1,4,2,1,6,9,5,5,9,7,4,1,9,3,7
749,P,5,5,5,8,3,3,14,8,1,11,7,2,0,10,4,8
1219,P,6,9,5,4,2,6,10,6,3,11,5,5,5,9,4,8
552,B,2,5,3,3,3,8,8,3,5,10,5,6,4,7,5,9
590,R,3,7,5,5,3,8,8,5,5,8,5,7,3,7,5,10
1124,A,7,14,7,8,6,10,3,5,2,10,5,12,7,1,5,11
871,B,3,5,6,4,4,9,6,3,5,10,5,7,2,8,5,10
55,P,3,7,5,5,3,7,10,3,5,13,5,3,2,10,3,8
530,B,5,11,7,8,6,9,8,4,7,10,4,6,2,8,6,10
1150,P,3,8,5,6,3,4,12,4,6,11,9,3,0,9,4,6
593,R,4,9,6,7,4,10,7,3,6,11,2,7,3,6,3,9
609,B,3,2,3,3,3,7,7,5,5,6,6,6,2,8,6,9
733,P,5,10,5,7,5,5,11,5,5,11,9,3,1,10,4,7
268,B,5,9,7,6,9,8,6,5,4,7,6,9,7,9,7,9
2025,B,7,10,5,7,4,6,7,5,5,10,6,8,4,7,8,9
1977,P,3,5,5,3,3,7,10,6,3,11,4,3,1,10,3,8
557,P,2,4,4,2,2,8,9,3,3,12,4,4,1,10,2,9
732,A,3,8,6,6,4,10,5,1,4,8,2,6,2,7,4,8
157,B,4,7,5,5,5,8,6,6,6,6,6,6,2,8,7,9
301,P,1,0,2,1,0,5,11,7,1,9,6,4,1,9,3,8
2019,P,3,4,4,3,2,5,10,4,4,10,8,4,0,10,4,7
205,P,5,8,6,10,9,8,9,3,2,6,8,7,6,11,6,4
1440,A,3,6,5,4,1,10,3,3,1,8,1,8,3,6,2,8
354,P,1,3,3,1,1,8,7,3,3,11,4,5,2,9,2,9
199,P,4,10,5,8,4,5,11,3,7,11,9,4,0,10,4,7
441,B,4,2,5,4,4,8,7,5,6,6,6,5,2,8,7,10
1081,P,3,4,3,5,2,3,14,8,2,12,7,3,0,10,4,8
1199,A,4,10,7,8,5,12,2,2,3,9,2,9,2,7,2,8
496,R,5,8,8,7,8,8,8,3,3,6,4,8,7,8,6,4
1822,A,3,8,5,6,2,6,4,3,0,6,2,7,2,7,2,6
1469,R,7,10,9,9,11,7,7,3,5,6,6,9,7,9,7,6
1353,R,4,4,5,6,3,4,13,8,4,8,3,9,3,7,7,11
360,R,5,8,8,7,9,8,7,3,3,7,4,8,7,9,6,5
16,R,5,9,8,6,9,7,7,3,4,6,6,10,6,9,7,6
538,B,2,7,4,5,3,6,7,6,5,6,5,7,2,8,7,9
2054,R,4,9,6,8,6,7,6,4,5,6,5,7,3,7,5,9
1824,B,4,7,4,5,3,6,8,9,8,7,5,6,2,8,9,9
50,B,6,10,8,8,9,7,6,5,6,9,5,8,4,9,7,10
438,P,9,13,8,7,4,8,7,5,5,11,3,6,5,9,4,8
1446,B,4,8,7,6,4,8,8,4,7,10,5,6,2,8,6,10
248,B,1,2,2,1,1,7,7,7,5,6,6,7,1,8,7,9
101,P,3,5,6,4,3,7,10,4,3,12,4,3,2,10,2,8
419,R,3,7,3,5,4,7,9,6,5,8,5,9,3,6,6,10
613,B,8,12,6,6,4,9,6,4,6,10,5,9,5,7,7,10
982,P,3,7,4,5,3,4,12,6,4,12,9,3,0,10,3,6
2104,P,3,5,4,8,7,8,7,5,1,7,6,7,6,9,5,9
1421,B,1,0,1,1,0,7,7,6,4,7,6,7,1,8,5,9
88,P,3,6,5,4,3,7,10,4,4,12,4,3,1,9,3,8
1504,B,2,5,5,3,3,9,6,3,6,10,4,7,4,7,6,9
770,B,5,8,7,6,5,10,5,3,7,11,4,7,2,8,5,12
548,P,4,9,6,6,4,5,10,6,5,9,8,3,1,10,4,6
411,B,3,4,5,3,3,8,7,3,5,9,5,7,2,8,4,8
236,A,3,8,5,6,3,9,2,2,4,8,2,8,2,6,3,7
288,R,6,11,9,8,7,7,8,5,7,7,5,6,3,6,6,9
543,R,4,8,5,6,4,7,8,6,5,7,6,8,3,7,6,9
408,P,3,10,4,8,4,3,12,7,2,11,8,4,0,10,3,7
1901,A,3,5,4,4,2,8,2,2,2,7,2,8,2,6,3,7
803,P,4,5,7,7,6,8,10,2,3,8,9,5,6,10,5,5
2031,P,3,9,4,6,3,4,10,8,2,10,6,4,1,10,3,8
146,B,5,10,7,8,7,10,6,3,8,9,4,8,3,7,5,10
899,P,7,10,10,8,6,7,14,5,2,13,4,0,0,10,4,7
106,B,6,8,8,6,6,9,6,4,8,10,5,6,2,8,6,10
190,P,6,6,6,9,3,3,14,8,1,11,6,3,1,10,4,8
1790,P,4,7,5,5,4,5,11,3,6,10,9,6,4,10,3,8
445,P,1,3,2,1,1,5,10,3,4,10,8,5,0,9,3,7
1722,B,4,9,4,8,6,7,9,8,5,7,5,7,2,7,7,10
228,A,1,3,3,2,1,6,3,2,3,5,2,8,1,6,1,7
1186,A,1,3,3,2,1,9,2,3,1,8,2,8,1,6,1,8
1670,A,3,4,5,3,2,10,2,3,2,9,3,9,2,6,2,8
1300,P,4,7,6,10,9,8,11,5,0,9,7,6,4,10,5,9
20,B,5,10,5,8,4,6,8,10,6,7,6,7,3,8,9,10
882,P,7,9,9,7,5,8,11,7,4,11,4,3,2,10,4,8
1067,R,4,7,5,5,5,7,7,4,6,6,5,7,3,7,4,8
681,A,3,6,6,5,4,9,7,4,5,6,9,5,4,10,4,5
1861,B,4,10,6,7,7,8,6,4,4,6,5,7,4,9,5,8
1098,P,4,7,5,5,3,5,13,5,4,13,6,2,1,8,2,7
1986,A,2,7,5,5,3,11,2,2,2,8,4,9,3,5,3,8
919,A,4,5,7,7,2,7,6,3,0,7,0,8,2,7,1,8
536,A,3,8,5,6,3,12,3,2,1,9,2,9,2,7,3,9
228,P,5,11,7,8,6,7,7,7,5,8,7,8,2,9,7,9
94,R,5,9,4,5,2,5,12,8,5,7,3,9,3,8,5,11
1144,A,2,4,4,2,2,11,2,1,1,9,2,9,2,7,2,9
1001,R,3,7,5,5,5,5,8,3,4,6,5,9,4,7,6,5
1934,P,3,4,5,3,1,7,9,3,4,11,4,2,1,10,2,8
390,A,5,11,8,8,5,12,1,3,3,10,1,9,3,7,4,8
421,B,3,8,3,6,4,7,6,7,5,8,6,7,2,8,7,9
1187,A,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7
1534,B,5,8,7,6,7,7,7,5,4,7,5,7,4,9,6,7
1583,B,1,3,2,0,1,8,7,3,4,10,5,7,1,8,3,9
703,B,7,14,7,8,6,10,6,4,5,10,4,7,7,6,9,9
1699,A,4,5,6,4,4,8,8,3,4,6,7,7,6,8,4,4
728,B,2,3,4,2,2,8,7,3,5,10,5,6,3,8,4,10
504,P,6,8,8,6,5,5,14,5,2,11,6,2,1,10,3,7
1993,A,3,4,5,3,2,10,2,1,2,8,2,9,4,5,2,9
727,P,4,6,7,4,3,8,9,3,5,13,4,3,1,10,3,9
123,B,3,7,4,5,3,6,7,8,6,7,6,7,2,8,8,10
450,P,4,11,6,8,5,6,8,5,6,9,8,3,2,9,4,7
859,A,4,10,7,7,2,8,8,2,0,7,0,8,3,7,2,8
587,P,10,15,7,8,4,7,9,5,3,11,4,5,5,9,4,7
260,R,2,1,2,2,2,6,8,4,5,6,5,7,2,7,4,8
379,P,4,9,6,5,6,7,9,3,6,8,7,4,6,10,4,7
1714,P,11,13,9,8,4,7,8,6,4,11,4,6,5,9,5,8
865,R,2,5,5,4,5,7,8,3,3,7,5,8,6,8,4,8
903,B,8,12,6,6,4,8,6,5,5,11,4,10,6,6,7,11
345,B,4,9,4,4,3,11,6,3,5,9,5,8,6,7,7,10
1221,P,3,8,4,5,2,5,10,11,4,8,6,5,2,10,4,8
656,A,3,7,6,5,3,12,3,3,3,11,1,7,2,6,2,9
788,R,7,10,7,5,5,7,5,4,5,8,4,9,6,8,6,7
125,A,2,9,5,7,4,9,3,1,2,7,3,8,2,6,4,7
1590,P,3,5,5,4,2,7,10,4,3,11,3,3,1,10,3,8
742,A,2,3,4,2,1,11,2,3,1,9,2,9,1,5,2,8
150,B,9,13,7,8,5,6,8,5,8,10,6,8,6,6,7,9
47,B,3,6,4,4,4,8,7,3,4,7,6,7,4,8,5,8
378,A,3,2,5,3,2,8,1,2,2,6,1,8,2,5,2,7
800,A,3,10,5,6,3,9,3,2,3,7,1,8,2,6,2,7
412,B,1,0,1,0,1,7,7,7,4,7,6,7,1,8,6,8
616,R,2,3,3,2,2,8,8,3,5,9,4,7,2,7,4,10
192,A,4,5,6,4,6,7,8,3,5,7,8,9,8,10,3,6
1513,B,4,7,6,5,6,11,7,3,6,10,4,6,2,7,4,10
939,B,1,5,4,4,3,8,8,3,5,10,6,6,4,7,6,9
457,R,9,14,9,8,7,5,8,2,6,8,4,10,8,5,7,5
535,B,1,0,2,1,1,7,8,7,5,7,6,7,0,8,6,8
219,B,6,9,9,7,6,11,5,3,8,11,3,7,3,8,6,12
680,R,6,10,7,7,6,8,9,4,5,8,4,8,3,6,6,11
1860,A,4,9,6,7,4,12,2,3,3,10,2,9,2,6,4,8
2171,A,4,7,6,5,2,8,3,2,3,9,1,8,2,7,2,7
2105,B,4,8,6,6,7,8,7,6,3,7,8,7,6,10,8,9
48,B,7,10,9,8,8,8,7,5,7,10,6,6,3,9,7,10
804,P,8,12,7,6,4,8,9,2,4,12,5,4,3,10,6,6
1466,A,3,6,5,5,3,12,3,2,1,9,1,8,2,6,3,8
1895,P,5,10,7,7,6,7,10,5,3,11,5,3,1,10,3,8
223,B,4,8,4,6,5,6,7,8,6,6,6,7,2,8,8,9
557,A,7,9,5,5,3,8,3,3,1,7,4,12,5,6,4,7
306,A,3,5,5,3,2,8,2,1,2,6,1,8,2,6,2,7
2134,A,2,6,4,4,1,7,5,4,1,6,0,7,2,7,1,7
361,A,2,4,4,3,2,10,3,2,2,9,2,9,2,7,3,10
688,P,4,11,5,8,2,3,13,8,2,11,5,3,1,10,4,8
369,A,1,3,2,2,1,12,2,3,1,11,2,9,2,7,2,8
1867,B,3,6,5,4,4,7,8,5,5,9,6,6,3,7,7,8
1520,B,4,11,6,8,8,7,7,6,5,7,6,6,3,8,6,10
697,R,3,10,4,7,3,6,9,11,5,7,5,8,3,8,5,10
1380,P,5,10,7,7,4,10,8,3,5,12,4,4,2,9,4,8
2062,B,4,5,4,8,4,6,9,10,7,7,5,7,2,8,9,10
508,A,5,11,7,9,5,10,2,2,3,9,1,7,3,8,4,8
2122,A,6,11,8,8,8,8,9,8,5,6,6,8,3,7,8,5
502,B,8,15,8,8,6,10,6,4,5,10,4,7,6,6,8,9
641,A,3,7,5,4,2,7,3,3,3,6,2,8,3,6,3,8
866,R,9,15,9,8,7,9,7,4,7,9,2,7,6,5,7,7
1844,A,3,10,5,7,4,12,2,3,3,10,2,9,3,8,4,9
2058,P,5,8,7,6,6,8,5,7,5,7,6,6,4,9,6,10
217,P,3,7,3,4,2,4,12,8,2,10,6,4,1,9,4,8
616,B,5,7,8,6,9,9,6,4,4,8,6,8,7,9,8,7
733,A,3,9,6,7,4,12,4,2,2,10,2,10,2,6,3,7
1687,P,3,4,6,2,2,9,10,5,3,11,4,3,1,10,2,7
1482,A,3,2,5,4,2,8,2,2,2,7,3,8,2,8,2,7
1692,P,6,10,6,7,2,5,10,10,6,8,5,5,2,10,4,8
830,A,3,9,6,7,5,8,2,3,1,7,2,8,5,8,6,7
125,R,2,2,3,3,2,7,7,5,5,6,5,6,2,7,5,8
34,P,2,7,4,6,3,4,10,5,4,11,8,4,1,10,3,7
314,R,2,4,2,3,2,7,7,5,5,6,5,7,1,7,4,8
166,B,3,8,5,6,4,9,6,4,7,10,5,6,2,8,6,9
1013,B,6,9,8,6,8,7,8,5,5,7,5,6,4,9,6,7
355,P,2,3,4,1,2,8,8,3,3,11,4,5,1,8,2,8
30,P,2,1,3,2,2,6,9,5,5,9,7,4,1,9,4,7
316,R,3,7,6,4,3,8,8,4,6,9,3,8,3,7,4,11
1414,P,4,9,6,6,4,5,13,5,3,13,6,2,0,10,2,8
1177,B,6,11,8,8,7,9,7,4,7,10,4,6,3,8,6,10
1666,A,4,10,6,8,4,13,2,4,3,11,1,10,3,7,4,10
1093,R,2,2,3,2,1,6,6,4,5,7,6,6,2,7,4,9
763,R,1,3,2,1,1,7,7,4,5,5,5,7,2,7,4,8
1214,B,4,6,5,4,5,7,6,6,7,6,6,6,3,9,6,10
311,P,2,3,2,2,1,6,11,5,3,10,8,2,0,9,3,6
467,B,3,7,6,6,7,8,6,5,5,7,6,8,8,10,7,6
726,A,4,10,7,7,2,7,5,3,1,7,1,8,3,7,2,7
2010,A,6,9,9,8,8,7,8,2,4,6,7,8,6,5,5,6
816,B,2,6,3,4,3,6,6,7,5,7,6,7,2,8,6,9
791,A,2,3,4,5,1,8,6,3,1,8,0,8,2,7,1,8
707,R,7,11,10,8,10,5,8,3,5,6,5,10,9,9,8,7
644,P,4,10,6,8,6,5,10,5,5,10,8,3,1,10,5,6
387,A,5,11,7,8,7,8,7,7,4,7,6,9,4,8,8,3
1883,B,4,8,6,7,7,8,8,6,6,7,6,6,2,8,6,10
56,P,4,6,5,4,3,5,11,5,4,11,8,3,0,10,4,6
348,P,2,1,2,1,1,5,10,7,2,9,6,4,1,9,3,9
1754,A,4,9,8,7,5,11,3,1,2,8,3,9,6,5,3,8
806,R,2,4,4,3,3,7,8,4,3,9,5,8,2,6,3,10
615,P,4,9,6,7,4,7,10,4,6,12,5,3,1,10,5,8
1560,A,2,4,4,4,2,7,2,2,2,6,2,8,2,7,2,7
362,A,3,5,6,4,2,10,2,2,3,8,1,9,4,6,2,9
257,R,3,2,4,3,3,7,7,5,6,6,4,6,3,7,4,8
324,B,6,10,8,8,7,9,8,2,7,10,4,7,4,7,5,10
1621,R,2,1,2,2,3,7,8,5,5,6,4,8,2,7,4,8
911,P,7,9,9,7,5,7,12,8,3,10,5,3,2,12,5,8
443,P,6,9,5,5,3,6,11,6,2,11,5,4,4,10,4,8
1330,B,6,10,9,8,9,8,7,6,5,9,7,6,6,10,9,10
435,B,8,11,5,6,4,10,6,6,6,11,4,9,6,6,6,10
514,A,3,8,5,6,3,11,3,2,2,8,2,9,2,5,3,9
619,B,2,1,3,2,2,8,7,5,6,7,6,5,2,8,6,9
